question,relevant_document_ids,categories,authors,year
Can this method improve diagnostic accuracy compared to single-stage deep learning techniques?,7724,"cs.CV, cs.LG, eess.IV","Francisco Lopez-Tiro, Juan Pablo Betancur-Rengifo, Arturo Ruiz-Sanchez, Ivan Reyes-Amezcua, Jonathan El-Beze, Jacques Hubert, Michel Daudon, Gilberto Ochoa-Ruiz, Christian Daul",2022
"How are Langevin algorithms applied for very deep neural networks, and what benefits do they offer for image classification tasks?",17932,"cs.LG, stat.ML",Pierre Bras,2022
What specific challenges in training extremely deep architectures does Pierre Bras's approach aim to overcome?,17932,"cs.LG, stat.ML",Pierre Bras,2022
How is the FlightAR interface designed to assist with immersive drone control using multiple video streams and object detection?,21226,cs.RO,"Oleg Sautenkov, Selamawit Asfaw, Yasheerah Yaqoot, Muhammad Ahsan Mustafa, Aleksey Fedoseev, Daria Trinitatova, Dzmitry Tsetserukou",2024
In what ways can this system enhance pilot situational awareness during complex flight operations involving drones?,21226,cs.RO,"Oleg Sautenkov, Selamawit Asfaw, Yasheerah Yaqoot, Muhammad Ahsan Mustafa, Aleksey Fedoseev, Daria Trinitatova, Dzmitry Tsetserukou",2024
How does MMIS-Net improve retinal fluid segmentation?,8735,"eess.IV, cs.CV","Nchongmaje Ndipenocha, Alina Mirona, Kezhi Wanga, Yongmin Li",2025
What challenges are addressed by the authors in their study on retinal fluids?,8735,"eess.IV, cs.CV","Nchongmaje Ndipenocha, Alina Mirona, Kezhi Wanga, Yongmin Li",2025
Can deep neural networks enhance robotic exploration realism?,14666,"cs.RO, cs.AI",Isaac Ronald Ward,2025
In what ways do photorealistic environments aid training for robots?,14666,"cs.RO, cs.AI",Isaac Ronald Ward,2025
How effective are object-centric representations in visual question answering?,3213,"cs.CV, cs.LG","Amir Mohammad Karimi Mamaghan, Samuele Papa, Karl Henrik Johansson, Stefan Bauer, Andrea Dittadi",2024
What insights does the study provide on foundation models' performance?,3213,"cs.CV, cs.LG","Amir Mohammad Karimi Mamaghan, Samuele Papa, Karl Henrik Johansson, Stefan Bauer, Andrea Dittadi",2024
What interactive imitation learning techniques improve robotic manipulation skills?,4320,"cs.RO, cs.LG","Edgar Welte, Rania Rayyes",2025
"Which challenges do robots face during dexterous tasks, according to this survey?",4320,"cs.RO, cs.LG","Edgar Welte, Rania Rayyes",2025
How does deep exploration contribute to recommendation system personalization?,15100,"cs.IR, cs.AI, cs.LG","Zheqing Zhu, Benjamin Van Roy",2021
In what ways can these systems adapt over time for better recommendations?,15100,"cs.IR, cs.AI, cs.LG","Zheqing Zhu, Benjamin Van Roy",2021
What are the main features of DRRNet in detecting camouflaged objects?,13868,"cs.CV, cs.AI","Jianlin Sun, Xiaolin Fang, Juwei Guan, Dongdong Gui, Teqi Wang, Tongxin Zhu",2025
"How does dual reverse refinement enhance object detection accuracy, as per this study?",13868,"cs.CV, cs.AI","Jianlin Sun, Xiaolin Fang, Juwei Guan, Dongdong Gui, Teqi Wang, Tongxin Zhu",2025
Which word embedding method better captures social media-based NPD insights?,199,"cs.CL, cs.LG","Princessa Cintaqia, Matheus Inoue",2023
What are the advantages of using BERT over Word2Vec for product analysis on social platforms?,199,"cs.CL, cs.LG","Princessa Cintaqia, Matheus Inoue",2023
How does Bag of Tricks improve retail image classification accuracy?,17975,"cs.CV, cs.LG, stat.ML",Muktabh Mayank Srivastava,2020
"In what ways can these techniques be applied to other domains, as suggested by this study?",17975,"cs.CV, cs.LG, stat.ML",Muktabh Mayank Srivastava,2020
What longitudinal dynamics in recommender systems are revealed through agent-based modeling?,15107,"cs.IR, cs.AI","Gediminas Adomavicius, Dietmar Jannach, Stephan Leitner, Jingjing Zhang",2021
How do simulated interactions provide insights into system evolution over time?,15107,"cs.IR, cs.AI","Gediminas Adomavicius, Dietmar Jannach, Stephan Leitner, Jingjing Zhang",2021
Which CNN and transfer learning techniques show the most promise for remote sensing image classification?,6244,cs.CV,"Mustafa Majeed Abd Zaid, Ahmed Abed Mohammed, Putra Sumari",2025
"What challenges remain in applying these methods to diverse landscapes, as discussed by this research team?",6244,cs.CV,"Mustafa Majeed Abd Zaid, Ahmed Abed Mohammed, Putra Sumari",2025
How do sparse autoencoders enhance data representation?,1297,cs.LG,"Soham Gadgil, Chris Lin, Su-In Lee",2025
What are the main contributions of Gadgil et al.'s research on ensembling with sparse autoencoders?,1297,cs.LG,"Soham Gadgil, Chris Lin, Su-In Lee",2025
"Why is sub-sentence citation important in generation tasks, according to Chen et al.?",12560,cs.CL,"Guo Chen, Qiuyuan Li, Qiuxian Li, Hongliang Dai, Xiang Chen, Piji Li",2025
How does their method improve retrieval augmentation for textual content creation?,12560,cs.CL,"Guo Chen, Qiuyuan Li, Qiuxian Li, Hongliang Dai, Xiang Chen, Piji Li",2025
What role does pseudo labeling play in semi-supervised object detection as per Li et al.'s study?,14282,"cs.CV, cs.AI","Gang Li, Xiang Li, Yujie Wang, Yichao Wu, Ding Liang, Shanshan Zhang",2022
"Can consistency training alone suffice to boost performance, based on their findings?",14282,"cs.CV, cs.AI","Gang Li, Xiang Li, Yujie Wang, Yichao Wu, Ding Liang, Shanshan Zhang",2022
How do deep autoencoders contribute to threat detection within the UEBA framework described by Fuentes and colleagues?,1311,"cs.CR, cs.LG, stat.CO, stat.ML","Jose Fuentes, Ines Ortega-Fernandez, Nora M. Villanueva, Marta Sestelo",2025
What cybersecurity implications arise from using such a model for anomaly detection?,1311,"cs.CR, cs.LG, stat.CO, stat.ML","Jose Fuentes, Ines Ortega-Fernandez, Nora M. Villanueva, Marta Sestelo",2025
Which challenges in underwater object detection are highlighted by Nabahirwa et al.?,8355,"cs.CV, cs.AI","Edwine Nabahirwa, Wei Song, Minghua Zhang, Yi Fang, Zhou Ni",2025
"How do large vision language models address these specific issues, as per the review article?",8355,"cs.CV, cs.AI","Edwine Nabahirwa, Wei Song, Minghua Zhang, Yi Fang, Zhou Ni",2025
What makes a branding attack 'silent' and how does it affect diffusion-based text to image translation?,15522,"cs.CV, cs.AI, cs.CR","Sangwon Jang, June Suk Choi, Jaehyeong Jo, Kimin Lee, Sung Ju Hwang",2025
In what ways can such attacks be mitigated without trigger detection mechanisms?,15522,"cs.CV, cs.AI, cs.CR","Sangwon Jang, June Suk Choi, Jaehyeong Jo, Kimin Lee, Sung Ju Hwang",2025
"How is speech enhancement achieved using weighted variance in variational autoencoders, as per Golmakani et al.'s work?",6711,"cs.SD, cs.CV, cs.LG, eess.AS","Ali Golmakani, Mostafa Sadeghi, Xavier Alameda-Pineda, Romain Serizel",2022
What advantages does this approach offer over traditional methods for audio clarity improvement?,6711,"cs.SD, cs.CV, cs.LG, eess.AS","Ali Golmakani, Mostafa Sadeghi, Xavier Alameda-Pineda, Romain Serizel",2022
"In what ways can DBIF-AUNet improve semantic segmentation of pleural effusion in medical imaging, according to Tang et al.?",8802,"cs.CV, 68T45, 92C55, I.4.6; I.5.4; J.3","Ruixiang Tang, Mingda Zhang, Jianglong Qin, Yan Song, Yi Wu, Wei Wu",2025
How do the authors propose their algorithm adapts to different image resolutions and quality levels?,8802,"cs.CV, 68T45, 92C55, I.4.6; I.5.4; J.3","Ruixiang Tang, Mingda Zhang, Jianglong Qin, Yan Song, Yi Wu, Wei Wu",2025
"What is Mamba's role in spatio-frequency motion perception for camouflaged object detection, as discussed by Li et al.?",8440,cs.CV,"Xin Li, Keren Fu, Qijun Zhao",2025
How does this approach enhance the efficiency of video surveillance systems with occluded subjects?,8440,cs.CV,"Xin Li, Keren Fu, Qijun Zhao",2025
"What are the data limitations in human reasoning research within recommender systems contexts, based on Riesterer and Brand's analysis?",15156,cs.AI,"Nicolas Riesterer, Daniel Brand, Marco Ragni",2020
How can these limits impact future studies or applications of such models for personalized recommendations?,15156,cs.AI,"Nicolas Riesterer, Daniel Brand, Marco Ragni",2020
How does the Guiding Evolutionary AutoEncoder Training with Activation-Based Pruning Operators work?,13335,"cs.NE, cs.AI","Steven Jorgensen, Erik Hemberg, Jamal Toutouh, Una-May O'Reilly",2025
What are the main contributions of Jorgensen et al.'s activation-based pruning operators in training autoencoders?,13335,"cs.NE, cs.AI","Steven Jorgensen, Erik Hemberg, Jamal Toutouh, Una-May O'Reilly",2025
How does SToFM enhance spatial transcriptomics analysis using foundation models?,2617,"q-bio.GN, cs.AI, cs.LG","Suyuan Zhao, Yizhen Luo, Ganbo Yang, Yan Zhong, Hao Zhou, Zaiqing Nie",2025
"In what ways can multi-scale approaches improve the interpretation of single-cell RNA sequencing data, as proposed by Zhao et al.?",2617,"q-bio.GN, cs.AI, cs.LG","Suyuan Zhao, Yizhen Luo, Ganbo Yang, Yan Zhong, Hao Zhou, Zaiqing Nie",2025
What role does Referring Image Segmentation play in improving image fusion techniques for SIRIS (Spatial Infrared and Visible Imaging System)?,8576,cs.CV,"Siju Ma, Changsiyu Gong, Xiaofeng Fan, Yong Ma, Chengjie Jiang",2025
How can RIS-FUSION be applied to enhance the quality of fused images from infrared and visible spectrums?,8576,cs.CV,"Siju Ma, Changsiyu Gong, Xiaofeng Fan, Yong Ma, Chengjie Jiang",2025
"What lexical relatedness measures are used in detecting sarcasm or hate speech, according to Cabrera et al.?",2425,"cs.CL, cs.LG","Angelly Cabrera, Linus Lei, Antonio Ortega",2025
How effective is transfer learning for identifying sarcastic versus genuine textual content as demonstrated by Lei and Ortega?,2425,"cs.CL, cs.LG","Angelly Cabrera, Linus Lei, Antonio Ortega",2025
"What are the key features of ANTONIO that make it a systematic method for generating NLP benchmarks, based on Casadio et al.'s work?",11344,"cs.CL, cs.AI, cs.LG","Marco Casadio, Luca Arnaboldi, Matthew L. Daggitt, Omri Isac, Tanvi Dinkar, Daniel Kienitz, Verena Rieser, Ekaterina Komendantskaya",2023
How does verification accuracy improve with using language models like Llama-03 and GPT-4 in creating robust NLP datasets as per the findings of Daggitt et al.?,11344,"cs.CL, cs.AI, cs.LG","Marco Casadio, Luca Arnaboldi, Matthew L. Daggitt, Omri Isac, Tanvi Dinkar, Daniel Kienitz, Verena Rieser, Ekaterina Komendantskaya",2023
"What selection policies are learned to efficiently process subgraphs within Graph Neural Networks (GNN), according to Bevilacqua et al.'s research?",866,cs.LG,"Beatrice Bevilacqua, Moshe Eliasof, Eli Meirom, Bruno Ribeiro, Haggai Maron",2023
"How does effective policy learning impact the performance of GNN in handling complex graph structures, as studied by Eliasof and Meirom?",866,cs.LG,"Beatrice Bevilacqua, Moshe Eliasof, Eli Meirom, Bruno Ribeiro, Haggai Maron",2023
What denoising techniques are employed within DRACO to reconstruct cryo-EM images effectively for biological research purposes?,6479,"cs.CV, eess.IV","Yingjun Shen, Haizhao Dai, Qihe Chen, Yan Zeng, Jiakai Zhang, Yuan Pei, Jingyi Yu",2024
"How does the reconstruction process of high-resolution structures from noisy electron microscopy data work, as per Yu et al.'s study on Cryo-EM image processing?",6479,"cs.CV, eess.IV","Yingjun Shen, Haizhao Dai, Qihe Chen, Yan Zeng, Jiakai Zhang, Yuan Pei, Jingyi Yu",2024
What vulnerabilities in software are most effectively detected using LLaMA models for security purposes according to Gonçalves and Praça's research?,423,"cs.LG, cs.AI, cs.CR, cs.SE","José Gonçalves, Miguel Silva, Bernardo Cabral, Tiago Dias, Eva Maia, Isabel Praça, Ricardo Severino, Luís Lino Ferreira",2025
"How does the evaluation of language model performance impact its effectiveness at detecting code injection attacks, as investigated by Silva et al.?",423,"cs.LG, cs.AI, cs.CR, cs.SE","José Gonçalves, Miguel Silva, Bernardo Cabral, Tiago Dias, Eva Maia, Isabel Praça, Ricardo Severino, Luís Lino Ferreira",2025
What constraints are used in guiding diffusion models for better alignment during learning processes according to Ribeiro and colleagues' work on constrained Diffusion Models (CIM)?,5212,"cs.LG, eess.IV, stat.ML","Shervin Khalafi, Ignacio Hounie, Dongsheng Ding, Alejandro Ribeiro",2025
"How does the use of quantization techniques affect sampling from autoencoders’ latent space, as explored by Bouayed et al.?",5212,"cs.LG, eess.IV, stat.ML","Shervin Khalafi, Ignacio Hounie, Dongsheng Ding, Alejandro Ribeiro",2025
What are the main principles behind using Quantization and Probability Mass Function concepts for sampling in AutoEncoder's Latent Space according to Iaccovelli and Naccache’s study?,6665,"cs.LG, cs.AI, cs.CV","Aymene Mohammed Bouayed, Adrian Iaccovelli, David Naccache",2023
"How does this approach improve latent space exploration, as proposed by Mohammed Bouayed et al.?",6665,"cs.LG, cs.AI, cs.CV","Aymene Mohammed Bouayed, Adrian Iaccovelli, David Naccache",2023
How does Spannotation improve semantic segmentation for autonomous navigation?,21565,"cs.CV, cs.RO, eess.IV","Samuel O. Folorunsho, William R. Norris",2024
What role do efficient image annotations play in enhancing this process?,21565,"cs.CV, cs.RO, eess.IV","Samuel O. Folorunsho, William R. Norris",2024
How can differential-informed sample selection accelerate multimodal contrastive learning?,2323,"cs.CV, cs.LG","Zihua Zhao, Feng Hong, Mengxi Chen, Pengyi Chen, Benyuan Liu, Jiangchao Yao, Ya Zhang, Yanfeng Wang",2025
Which modalities are most effectively combined for improved machine perception according to the authors?,2323,"cs.CV, cs.LG","Zihua Zhao, Feng Hong, Mengxi Chen, Pengyi Chen, Benyuan Liu, Jiangchao Yao, Ya Zhang, Yanfeng Wang",2025
What challenges does PLD-SLAM address in dynamic scenes with visual SLAM techniques?,21707,"cs.CV, cs.CG, cs.RO",BaoSheng Zhang,2022
How do points and line segments contribute to real-time localization accuracy as proposed by BaoSheng Zhang?,21707,"cs.CV, cs.CG, cs.RO",BaoSheng Zhang,2022
In what ways can retrieval augmented generation enhance frame detection methods?,5475,"cs.CL, cs.AI, cs.LG","Papa Abdou Karim Karou Diallo, Amal Zouaq",2025
What specific improvements does the authors claim with their approach in medical imaging contexts?,5475,"cs.CL, cs.AI, cs.LG","Papa Abdou Karim Karou Diallo, Amal Zouaq",2025
"How is DeBERTa utilized within an NLP framework for automated medical diagnosis, as per Mohammad Ali Labbaf Khaniki et al.?",11103,"cs.CL, cs.AI","Mohammad Ali Labbaf Khaniki, Sahabeh Saadati, Mohammad Manthouri",2025
What role does dynamic contextual positional gating play in the accuracy of this system?,11103,"cs.CL, cs.AI","Mohammad Ali Labbaf Khaniki, Sahabeh Saadati, Mohammad Manthouri",2025
"How effective is VGG19 at handling complex visual data for image classification tasks, according to Weijie He and colleagues?",3638,"cs.CV, cs.LG","Weijie He, Tong Zhou, Yanlin Xiang, Yang Lin, Jiacheng Hu, Runyuan Bao",2024
In what specific scenarios or datasets was its performance evaluated by Tong Zhou et al.?,3638,"cs.CV, cs.LG","Weijie He, Tong Zhou, Yanlin Xiang, Yang Lin, Jiacheng Hu, Runyuan Bao",2024
"What advantages does multi-modal sensing offer in mmWave beamforming for V2V communications, as per Muhammad Baqer Mollah and others?",52,"cs.NI, cs.AI, cs.ET, cs.IT, cs.LG, math.IT","Muhammad Baqer Mollah, Honggang Wang, Hua Fang",2025
How do transformers contribute to the efficiency of this approach compared to traditional methods?,52,"cs.NI, cs.AI, cs.ET, cs.IT, cs.LG, math.IT","Muhammad Baqer Mollah, Honggang Wang, Hua Fang",2025
"What makes TeVAE a suitable variational autoencoder model for online anomaly detection in time-series data, as per Lucas Correia et al.?",1412,"cs.LG, cs.AI, cs.CE","Lucas Correia, Jan-Christoph Goos, Philipp Klein, Thomas Bäck, Anna V. Kononova",2024
How does variable state and multivariate nature of the input affect its performance according to Jan-Christoph Goos and others?,1412,"cs.LG, cs.AI, cs.CE","Lucas Correia, Jan-Christoph Goos, Philipp Klein, Thomas Bäck, Anna V. Kononova",2024
"What techniques are employed by JutePestDetect for jute pest identification, as per Md. Simul Hasan Talukder et al.?",7657,cs.CV,"Md. Simul Hasan Talukder, Mohammad Raziuddin Chowdhury, Md Sakib Ullah Sourav, Abdullah Al Rakin, Shabbir Ahmed Shuvo, Rejwan Bin Sulaiman, Musarrat Saberin Nipun, Muntarin Islam, Mst Rumpa Islam, Md Aminul Islam, Zubaer Haque",2023
How does fine-tuning transfer learning improve the accuracy of this intelligent approach in agricultural settings?,7657,cs.CV,"Md. Simul Hasan Talukder, Mohammad Raziuddin Chowdhury, Md Sakib Ullah Sourav, Abdullah Al Rakin, Shabbir Ahmed Shuvo, Rejwan Bin Sulaiman, Musarrat Saberin Nipun, Muntarin Islam, Mst Rumpa Islam, Md Aminul Islam, Zubaer Haque",2023
"What benefits do scheduled pseudo-Huber loss provide for diffusion models' resistance to data corruption, as per Artem Khrapov et al.?",16022,cs.AI,"Artem Khrapov, Vadim Popov, Tasnima Sadekova, Assel Yermekova, Mikhail Kudinov",2024
How does incorporating a robustness mechanism impact the overall performance of generative adversarial networks (GANs)?,16022,cs.AI,"Artem Khrapov, Vadim Popov, Tasnima Sadekova, Assel Yermekova, Mikhail Kudinov",2024
How can real-time recommendation systems be accelerated using deep learning?,4702,"cs.IR, cs.AI, cs.LG","Junli Shao, Jing Dong, Dingzhou Wang, Kowei Shih, Dannier Li, Chengrui Zhou",2025
What optimization strategies are effective for DL models in recommendations?,4702,"cs.IR, cs.AI, cs.LG","Junli Shao, Jing Dong, Dingzhou Wang, Kowei Shih, Dannier Li, Chengrui Zhou",2025
Can neural network visual representations predict human similarity judgments accurately?,22246,cs.NE,"Maria Attarian, Brett D. Roads, Michael C. Mozer",2020
In what ways do humans perceive similarities between images or objects?,22246,cs.NE,"Maria Attarian, Brett D. Roads, Michael C. Mozer",2020
How does the FM-AE model detect abnormality in zinc electrolysis plate contacts using frequency masking?,6608,"cs.CV, I.5.1","Canzong Zhou, Can Zhou, Hongqiu Zhu, Tianhao Liu",2024
What role does multimodal autoencoding play in anomaly detection for industrial processes?,6608,"cs.CV, I.5.1","Canzong Zhou, Can Zhou, Hongqiu Zhu, Tianhao Liu",2024
Is it possible to learn robust multimodal representations without training data through Jacobian regularization?,3366,"cs.CV, cs.LG, cs.SD, eess.AS","Zhengqi Gao, Sucheng Ren, Zihui Xue, Siting Li, Hang Zhao",2022
How can sample-wise methods improve the generalizability of neural networks across modalities?,3366,"cs.CV, cs.LG, cs.SD, eess.AS","Zhengqi Gao, Sucheng Ren, Zihui Xue, Siting Li, Hang Zhao",2022
What are key challenges in jointly learning semantic segmentation and stereo matching for autonomous driving?,21577,"cs.CV, cs.AI, cs.RO","Zhiyuan Wu, Yi Feng, Chuang-Wei Liu, Fisher Yu, Qijun Chen, Rui Fan",2024
How does S$^3$M-Net address these issues to enhance perception accuracy on the road?,21577,"cs.CV, cs.AI, cs.RO","Zhiyuan Wu, Yi Feng, Chuang-Wei Liu, Fisher Yu, Qijun Chen, Rui Fan",2024
Can BERT be fine-tuned effectively with large language models to detect leadership tactics in textual data?,134,"cs.CL, cs.AI, cs.LG","Yasser Saeid, Felix Neubürger, Stefanie Krügl, Helena Hüster, Thomas Kopinski, Ralf Lanwehr",2024
What linguistic patterns are indicative of charismatic leadership within natural communication?,134,"cs.CL, cs.AI, cs.LG","Yasser Saeid, Felix Neubürger, Stefanie Krügl, Helena Hüster, Thomas Kopinski, Ralf Lanwehr",2024
How does quantifying the impact of different augmentation techniques improve LiDAR-based object detection accuracy?,20216,"cs.CV, cs.LG, eess.IV","Martin Hahner, Dengxin Dai, Alexander Liniger, Luc Van Gool",2020
Which types of data augmentations yield significant improvements in detecting objects with limited training samples?,20216,"cs.CV, cs.LG, eess.IV","Martin Hahner, Dengxin Dai, Alexander Liniger, Luc Van Gool",2020
What are diffusion models and how do they apply to multi-objective evolutionary optimization problems?,16081,"cs.NE, cs.AI","Xueming Yan, Yaochu Jin",2024
How does EmoDM facilitate the exploration of trade-offs between conflicting objectives using emotional data as a guide?,16081,"cs.NE, cs.AI","Xueming Yan, Yaochu Jin",2024
In what ways can cost considerations be integrated into routing algorithms for text-to-image generation tasks?,5100,"cs.CV, cs.LG","Qinchan Li, Kenneth Chen, Changyue Su, Wittawat Jitkrittum, Qi Sun, Patsorn Sangkloy",2025
How does efficient resource allocation affect the quality and speed of generating images from natural language descriptions?,5100,"cs.CV, cs.LG","Qinchan Li, Kenneth Chen, Changyue Su, Wittawat Jitkrittum, Qi Sun, Patsorn Sangkloy",2025
"What advantages do window attention mechanisms provide in vision transformers, specifically TKwinFormer?",18895,"eess.IV, I.4.7","Yun Liao, Yide Di, Hao Zhou, Kaijun Zhu, Mingyu Lu, Yijia Zhang, Qing Duan, Junhui Liu",2023
How can top k-window strategies enhance feature matching capabilities within Vision Transformers for image processing tasks?,18895,"eess.IV, I.4.7","Yun Liao, Yide Di, Hao Zhou, Kaijun Zhu, Mingyu Lu, Yijia Zhang, Qing Duan, Junhui Liu",2023
How does occlusion affect semantic instance segmentation?,3920,"cs.CV, cs.AI, cs.LG","Soroosh Baselizadeh, Cheuk-To Yu, Olga Veksler, Yuri Boykov",2025
What challenges arise in maintaining accuracy during occlusion events?,3920,"cs.CV, cs.AI, cs.LG","Soroosh Baselizadeh, Cheuk-To Yu, Olga Veksler, Yuri Boykov",2025
Can motion and appearance influence diffusion transformer performance on multi-entity videos?,5830,cs.CV,"Zhenghao Zhang, Junchao Liao, Xiangyu Meng, Long Qin, Weizhi Wang",2025
Is the Tora2 model customizable for different entity types within video generation tasks?,5830,cs.CV,"Zhenghao Zhang, Junchao Liao, Xiangyu Meng, Long Qin, Weizhi Wang",2025
What are key features of lidar data used in real-time object detection systems like RUHSNet?,20206,"cs.CV, cs.LG, eess.IV",Abhinav Sagar,2020
